Country Name,YEAR,NY.GNS.ICTR.ZS,NY.GDS.TOTL.ZS,NY.GDP.PCAP.KD.ZG,NY.GDP.MKTP.KD.ZG,NY.GDP.DEFL.ZS,NY.GDP.DEFL.KD.ZG,NV.IND.TOTL.ZS,NE.TRD.GNFS.ZS,NE.RSB.GNFS.ZS,NE.IMP.GNFS.ZS,NE.GDI.TOTL.ZS,NE.EXP.GNFS.ZS,NE.DAB.TOTL.ZS,NE.CON.GOVT.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.WD.GD.ZS,BN.CAB.XOKA.GD.ZS,BM.KLT.DINV.WD.GD.ZS,BG.GSR.NFSV.GD.ZS
ARM,2017,17.17845791,7.651454985,8.024397049,7.500000002,109.6331606,2.150641898,25.80953238,87.20237654,-10.77028523,48.98633088,18.42174021,38.21604566,110.7702852,12.31855199,0.969553269,2.192573377,-1.26072402,0.252066172,33.69306055
ARM,2018,15.55357577,8.712420363,5.769882149,5.2,112.6894147,2.787709514,24.75655785,92.47310702,-13.68731896,53.08021299,22.39973933,39.39289403,113.687319,11.48669032,2.52023382,2.142047834,-7.228123024,0.056289446,35.2700901
ARM,2019,10.22162316,3.995978006,8.2086495,7.599999999,113.8902586,1.065622639,24.97160846,96.11415413,-13.4125514,54.76335277,17.40852941,41.35080136,113.4125514,12.5645601,1.443446608,0.736361517,-7.05686573,-0.976519742,36.37704107
ARM,2020,15.70672187,9.704999234,-6.704049318,-7.199999999,115.9477917,1.806592702,26.8172957,69.48880754,-9.958833709,39.72382062,19.66383294,29.76498692,109.9588337,14.96861824,1.211435778,0.463408851,-3.997773907,-0.21578484,16.45852127
ARM,2021,19.60923874,15.10686738,6.354744401,5.8,123.9487849,6.900513659,26.36434041,79.66988882,-7.857008843,43.76344883,22.96387623,35.90643999,107.8570088,13.64985026,7.184836294,2.640302812,-3.479973958,0.17720227,22.14577079
ARM,2022,22.18839216,20.65511289,13.02541852,12.6,133.8469655,7.98570197,25.28166096,101.0064924,-0.979196984,50.99284468,21.63430988,50.0136477,100.979197,12.69914357,8.64091109,5.114698655,0.773792976,0.254926088,35.51173353
AUS,2000,21.19590796,24.0957092,2.738944295,3.921517829,51.6252825,2.55075058,24.55053314,40.93521098,-2.154754827,21.5449829,26.25046403,19.39022808,102.1547548,18.53807453,4.457435148,3.578599219,-3.721401158,0.983982741,9.440618627
AUS,2001,20.7475782,23.47901193,0.723531157,2.025127315,54.01590387,4.63071824,23.63352097,44.2187045,0.085948301,22.0663781,23.39306363,22.1523264,99.9140517,18.54263912,4.407135362,2.823052147,-2.103878291,3.524709281,9.31970793
AUS,2002,21.77997995,24.41165662,2.80352716,3.979633756,55.55012132,2.840306894,23.6117317,41.4490922,0.004230309,20.72243095,24.40742631,20.72666126,99.99576969,18.34843465,2.981574539,3.703067305,-4.043125768,1.762139782,9.57381992
AUS,2003,21.08294055,23.84996787,1.911738676,3.090687182,57.2086367,2.985619736,24.04209646,40.20156691,-2.087141455,21.14435418,25.93698481,19.05721273,102.0870169,18.41072434,2.732595966,1.920995362,-6.26582917,3.976112668,9.801959131
AUS,2004,21.52108395,24.37908595,3.115893443,4.224321727,59.05777018,3.2322628,23.93491874,37.00961359,-2.684677157,19.84714538,27.06364738,17.16246822,102.6845614,18.30228136,2.343255225,6.980716853,-6.717039054,1.591944791,9.129813768
AUS,2005,20.980012,24.74493269,1.906065238,3.154139257,61.31703057,3.825509127,24.61850662,39.16074697,-2.7120014,20.93637419,27.45682604,18.22437279,102.7118933,18.38159496,2.691831683,-3.606927925,-6.230183374,-4.702275134,8.849045203
AUS,2006,21.65708048,25.65254581,1.377980034,2.755298243,64.45363505,5.11538874,25.61483015,41.55944717,-1.852368733,21.70590795,27.5048145,19.85353922,101.8522687,18.30729753,3.555287737,4.082092962,-6.184662979,3.217793605,9.581411174
AUS,2007,21.36062346,25.86097814,1.896708392,3.773392681,67.66728036,4.985979935,25.66594094,42.00802003,-1.641012173,21.8245161,27.50199032,20.18350393,101.6410122,18.17225164,2.327611289,5.197626008,-7.560151071,1.68662645,10.49765244
AUS,2008,21.89333971,26.0541238,1.531111868,3.58622798,70.75955479,4.569822249,25.60457568,42.8467764,-2.549021769,22.69789909,28.60331511,20.14887732,102.5491913,18.09390919,4.35029855,4.276062198,-4.873063431,3.019344591,9.727589872
AUS,2009,23.996968,27.64544675,-0.185773153,1.892573609,74.26155891,4.949160757,27.04597361,45.74086303,0.281107083,22.72987797,27.36433967,23.01098506,99.71889292,18.43074706,1.771117166,3.088332895,-5.216703839,1.234314348,9.826063441
AUS,2010,21.78420058,25.86008229,0.648500068,2.226538078,75.11694723,1.151858818,25.17316643,40.51063301,-0.919899937,20.71526648,26.7798289,19.79536654,100.9197466,18.83468097,2.918340027,3.064760561,-3.98509549,1.572698639,9.591373564
AUS,2011,23.2399699,27.4935132,0.995812002,2.40897178,79.77577436,6.202098607,26.52174495,41.83735112,1.034221947,20.40156458,26.45915028,21.43578653,98.96563707,18.66435085,3.303850156,4.686839826,-3.245841029,0.589878576,9.059348423
AUS,2012,24.28835275,27.54475458,2.119926068,3.918409625,81.21585797,1.805164061,26.37901672,43.14902469,-0.16623891,21.6576318,27.71092686,21.49139289,100.1661723,18.89686658,1.762780156,3.718568987,-4.423895012,0.372412996,8.642549249
AUS,2013,23.89355987,26.56478768,0.855301403,2.606198447,81.08284141,-0.163781511,25.1869823,41.25019106,-1.301965274,21.27607817,27.86668791,19.9741129,101.3019002,18.8516012,2.449888641,3.453079092,-3.228353349,-0.04879888,8.487747091
AUS,2014,23.57955585,26.43866487,1.088300782,2.607401032,82.22196866,1.404893098,25.56612354,42.4430282,-0.278365563,21.36069688,26.71703043,21.08233132,100.2783656,18.7735162,2.487922705,4.303610751,-3.047860942,1.536559616,8.869783157
AUS,2015,22.65198716,24.7801331,0.741438844,2.201810153,81.70979054,-0.622921249,23.68290667,41.59428041,-1.478027467,21.53615394,26.25809902,20.05812647,101.4779659,19.18216716,1.508366722,3.468995847,-4.220137735,0.610963074,8.817328153
AUS,2016,20.70524488,23.12488245,1.186265851,2.779142625,81.1739607,-0.655771897,22.32322404,40.79464187,-2.27019005,21.53241596,25.3950725,19.26222591,102.27019,19.96128844,1.276990945,3.558312746,-3.418388782,-0.257427389,9.991489972
